Time,wfv_1,wfv_2,wfv_3,Hour,Day,Month
2022-03-25 20:30:00,24.98564795,21.14117685,21.93946272,20,25,3
2022-03-25 20:45:00,25.04517004,21.14117685,21.93946272,20,25,3
2022-03-25 21:00:00,24.94684492,21.14269842,21.93946272,21,25,3
2022-03-25 21:15:00,24.94684492,21.14269842,21.67015277,21,25,3
2022-03-25 21:30:00,24.94684492,21.14269842,21.67015277,21,25,3
2022-03-25 21:45:00,24.94684492,21.2171828,21.67015277,21,25,3
2022-03-25 22:00:00,24.94684492,20.95051145,21.67015277,22,25,3
2022-03-25 22:15:00,24.94684492,21.2171828,21.67015277,22,25,3
2022-03-25 22:30:00,24.94684492,20.95051145,21.67015277,22,25,3
2022-03-25 22:45:00,24.94684492,20.95051145,21.7451446,22,25,3
2022-03-25 23:00:00,25.00365171,20.95051145,21.7451446,23,25,3
2022-03-25 23:15:00,25.00365171,20.94898235,21.7451446,23,25,3
2022-03-25 23:30:00,25.00365171,20.94898235,21.7451446,23,25,3
2022-03-25 23:45:00,24.75369304,20.94898235,21.7451446,23,25,3
2022-03-26 00:00:00,24.75090749,20.94898235,21.47148803,0,26,3
2022-03-26 00:15:00,24.75090749,21.02536358,21.47148803,0,26,3
2022-03-26 00:30:00,24.75090749,21.02536358,21.47148803,0,26,3
2022-03-26 00:45:00,24.75090749,21.02536358,21.54836346,0,26,3
2022-03-26 01:00:00,24.75090749,21.02383743,21.54685754,1,26,3
2022-03-26 01:15:00,24.80936583,21.02383743,21.54685754,1,26,3
2022-03-26 01:30:00,24.80936583,21.02231121,21.54685754,1,26,3
2022-03-26 01:45:00,24.80936583,20.75275863,21.54535156,1,26,3
2022-03-26 02:00:00,24.80936583,20.75275863,21.54535156,2,26,3
2022-03-26 02:15:00,24.80936583,20.75122171,21.54535156,2,26,3
2022-03-26 02:30:00,24.80936583,20.83106066,21.70316667,2,26,3
2022-03-26 02:45:00,24.8079749,20.83106066,21.70316667,2,26,3
2022-03-26 03:00:00,24.8079749,20.98871932,21.7780961,3,26,3
2022-03-26 03:15:00,24.8079749,20.82952685,21.7780961,3,26,3
2022-03-26 03:30:00,24.86496615,20.82952685,21.62058021,3,26,3
2022-03-26 03:45:00,24.86357703,20.98719172,21.61907704,3,26,3
2022-03-26 04:00:00,24.86357703,20.82799298,21.61907704,4,26,3
2022-03-26 04:15:00,24.61279478,20.82799298,21.77510164,4,26,3
2022-03-26 04:30:00,24.61279478,20.98719172,21.50617591,4,26,3
2022-03-26 04:45:00,24.61279478,20.82645904,21.50617591,4,26,3
2022-03-26 05:00:00,24.61139741,21.06044866,21.50617591,5,26,3
2022-03-26 05:15:00,24.61139741,21.06044866,21.50617591,5,26,3
2022-03-26 05:30:00,24.61139741,21.06044866,21.5814792,5,26,3
2022-03-26 05:45:00,24.61,21.06044866,21.50466838,5,26,3
2022-03-26 06:00:00,24.67004733,21.06044866,21.50316079,6,26,3
2022-03-26 06:15:00,24.66865185,21.05892388,21.34151386,6,26,3
2022-03-26 06:30:00,24.66865185,21.05892388,21.57997454,6,26,3
2022-03-26 06:45:00,24.66865185,20.90308145,21.57846983,6,26,3
2022-03-26 07:00:00,24.41531059,20.90155048,21.57846983,7,26,3
2022-03-26 07:15:00,24.41531059,20.79116178,21.57846983,7,26,3
2022-03-26 07:30:00,24.4139067,20.79116178,21.57696506,7,26,3
2022-03-26 07:45:00,24.56805623,20.79116178,21.57696506,7,26,3
2022-03-26 08:00:00,24.81910111,20.90001946,21.57696506,8,26,3
2022-03-26 08:15:00,24.4139067,21.05587414,21.57546023,8,26,3
